cycle_id,ADG,start_date,end_date,start_weight,end_weight,duration_days
25079.0,0.1457142857142857,2023-09-26,2023-11-14,2.57,9.71,49
25080.0,0.21642857142857141,2023-09-26,2023-11-07,3.28,12.37,42
25081.0,0.30428571428571427,2023-09-26,2023-10-10,1.91,6.17,14
25087.0,,2023-10-07,2023-10-07,13.3,13.3,0
25088.0,0.19107142857142856,2023-10-02,2023-10-30,4.65,10.0,28
25090.0,,2023-10-29,2023-10-29,5.0,5.0,0
25091.0,,2023-09-30,2023-09-30,6.67,6.67,0
25108.0,,2023-10-10,2023-10-10,3.33,3.33,0
25130.0,0.328,2023-09-27,2023-11-11,2.42,17.18,45
25131.0,0.32022222222222224,2023-09-27,2023-11-11,2.6,17.01,45
25132.0,0.28733333333333333,2023-09-27,2023-11-11,2.3,15.23,45
25133.0,0.2902222222222222,2023-09-27,2023-11-11,2.03,15.09,45
25135.0,0.36400000000000005,2023-09-27,2023-11-11,1.22,17.6,45
25136.0,0.33511111111111114,2023-09-27,2023-11-11,2.17,17.25,45
25137.0,0.34022222222222226,2023-09-27,2023-11-11,2.53,17.84,45
25138.0,0.39777777777777773,2023-09-27,2023-11-11,2.6,20.5,45
25139.0,0.3228888888888889,2023-09-27,2023-11-11,2.36,16.89,45
25140.0,0.42800000000000005,2023-09-27,2023-11-11,2.84,22.1,45
25141.0,0.4491111111111111,2023-09-27,2023-11-11,2.32,22.53,45
25142.0,0.4020000000000001,2023-09-27,2023-11-11,3.08,21.17,45
25143.0,0.40755555555555556,2023-09-27,2023-11-11,3.21,21.55,45
25144.0,0.4211111111111111,2023-09-27,2023-11-11,3.41,22.36,45
25145.0,0.30666666666666664,2023-09-27,2023-11-11,2.69,16.49,45
25146.0,0.37777777777777777,2023-09-27,2023-11-11,2.87,19.87,45
25148.0,0.342,2023-09-27,2023-11-11,1.7,17.09,45
25149.0,0.328,2023-09-27,2023-11-11,1.74,16.5,45
25150.0,0.3391111111111111,2023-09-27,2023-11-11,2.22,17.48,45
